Caractere: 0 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000100000000000000000111110000000000000001101110000000000000110001100000000000011000001000000000000110000011000000000001100000110000000000010000001100000000000100000001000000000001000000010000000000010000001100000000000110000011000000000001100000100000000000001100011000000000000011100110000000000000011111000000000000000001100000000000000000000000000 | Angles (Degrés): [118.3, 136.1, 144.4, 136.9, 113.8, 145.3, 142.7, 142.6] | Courbes: 38
Caractere: 0 | Grille Binaire (20x20): 0000000000000000000000000001000000000000000001111100000000000000111011100000000000001100011000000000000110000011000000000001100000110000000000010000000100000000001100000001000000000011000000010000000000110000000100000000001100000001000000000011000000110000000000011000001100000000000110000110000000000000110011100000000000001111110000000000000000111000000000000000000000000000000000000000000000000000 | Angles (Degrés): [3.9, 157.1, 0.8, 152.4, 115.9, 137.8, 118.7, 87.7, 6.4, 90.9, 112.2, 100.0, 16.5] | Courbes: 70
Caractere: 0 | Grille Binaire (20x20): 0000000000000000000000000000001000000000000000001111110000000000000111001100000000000001100001100000000000110000011000000000001100000010000000000010000000110000000000100000001100000000001000000001000000000010000000110000000000100000001100000000001100000011000000000011000001100000000000111000011000000000000110000110000000000000111110000000000000000111100000000000000000000000000000000000000000000000 | Angles (Degrés): [129.6, 138.8, 141.2, 138.6, 113.2, 142.2, 140.5, 135.9] | Courbes: 38
Caractere: 1 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000100000000000000000011000000000000000001110000000000000000111100000000000000001100000000000000000000010000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [52.4, 5.9, 59.2, 0.9] | Courbes: 16
Caractere: 1 | Grille Binaire (20x20): 0000000000000000000000000000000001100000000000000000111000000000000000011110000000000000001111100000000000000111011000000000000001100010000000000000000000000000000000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [54.7, 2.6, 57.4, 0.1] | Courbes: 23
Caractere: 1 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000110000000000000000011100000000000000001101000000000000000110010000000000000001100110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [55.5, 4.4, 58.3, 1.6] | Courbes: 19
Caractere: 1 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000011100000000000000001111000000000000000011110000000000000001100100000000000000110001000000000000000000010000000000000000000100000000000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000011000000000000000000100000000000000000000000000000000000000000000000000 | Angles (Degrés): [36.9, 23.4, 135.0, 145.5, 130.2, 52.7, 5.2, 58.6, 0.7] | Courbes: 23
Caractere: 2 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000011111000000000000001111111000000000000011000110000000000000100001100000000000000000011000000000000000000110000000000000000001100000000000000000110000000000000000001100000000000000000110000000000000000111000010000000000001111111110000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [5.8, 120.0, 97.1, 48.4, 2.7, 55.2, 95.6, 119.9] | Courbes: 44
Caractere: 2 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000001100000000000000001111100000000000000111001100000000000001100011000000000000010000010000000000000000001100000000000000000011000000000000000000100000000000000000000000000000000000001100000000000000000111000000000000000011100001000000000000111111110000000000001111100000000000000010000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [0.0, 0.0, 33.7, 129.8, 151.6, 138.4, 41.6, 148.7, 160.6, 22.8, 157.8, 126.9, 37.9, 150.3, 34.7, 144.0, 126.0, 36.9, 161.6, 4.6, 147.7, 8.3, 158.8, 155.9, 9.4, 134.2, 0.1, 154.0, 150.8] | Courbes: 44
Caractere: 2 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000001111000000000000000111111000000000000011000110000000000000110000100000000000000000001000000000000000000110000000000000000001100000000000000000110000000000000000011100000000000000001110000000000000000011000000000000000001100000000000000000111111110000000000001111100000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [0.0, 0.0, 45.0, 135.0, 166.0, 104.0, 135.0, 116.6, 161.6, 85.7, 6.2, 105.7, 109.0, 6.4, 128.8] | Courbes: 50
Caractere: 2 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000111100000000000000011111100000000000001100001100000000000011000011000000000000000000110000000000000000001100000000000000000010000000000000000001100000000000000000111000000000000000011100000000000000001110000000000000000111000000000000000011111111100000000000111111111000000000001100000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [0.0, 0.0, 104.0, 137.6, 7.3, 117.0, 112.5, 147.1, 0.4, 128.0] | Courbes: 54
